latitude,longitude,cluster,size
32.69450539377049,-97.07304900491803,16,282
32.63614276042857,-97.11549624114285,7,281
32.7336566504386,-97.13065265666667,42,279
32.74348864370107,-97.08758442915777,21,259
32.6458434571,-97.0693290373,58,252
32.73635698076379,-97.10716892178218,90,229
32.65895095177305,-97.12893286847518,44,228
32.7844602465625,-97.0655547465625,26,206
32.76067165597701,-97.05540476586206,75,204
32.71361258493796,-97.07758074424318,83,192
32.772707523432835,-97.13168089477612,43,187
32.755829953281854,-97.08135499382239,53,186
32.65148245482993,-97.09632473482993,70,179
32.666904560955885,-97.18628081823529,29,178
32.71275016084337,-97.14163920915662,66,164
32.67443306,-97.1657436896104,6,155
32.74078014917476,-97.15066916538835,50,151
32.6238466169863,-97.09288321212328,52,149
32.68468384772727,-97.194186735,3,149
32.710149136966294,-97.05621358005618,27,146
32.68411301565217,-97.06805464543478,35,144
32.65834288787879,-97.15068667583333,38,143
32.65270330968421,-97.07941033789474,76,141
32.62693096777778,-97.17096327444445,60,141
32.68223485770834,-97.219450781875,23,136
32.711852890486114,-97.20141508770834,97,134
32.682771986153845,-97.12773367846154,20,134
32.615244873380284,-97.11663958239437,31,132
32.71605885,-97.1715784365035,59,130
32.77462177830769,-97.07956282292308,78,129
32.713679097684214,-97.12029902147368,80,127
32.785126924626866,-97.10392360134328,55,126
32.69744367225,-97.11325200057144,71,123
32.693316681764706,-97.09447543149733,4,120
32.76000786293859,-97.1019681333772,46,117
32.66611187505155,-97.07855799402061,85,114
32.673372663589745,-97.15207105871795,12,114
32.73806826105263,-97.05143245694737,2,108
32.73823383301038,-97.11555172795848,49,104
32.72172850384615,-97.18191247990384,1,104
32.7090290234,-97.10421891453333,63,101
32.74883687814324,-97.08740403201591,14,100
32.64492460503356,-97.11042309469799,45,97
32.68878905752688,-97.08101077118279,88,97
32.660360654418604,-97.06649743941861,74,96
32.65757406579365,-97.17541303706349,67,96
32.7823956740678,-97.11940397355932,32,95
32.64788365355263,-97.1282937556579,47,95
32.737316926944445,-97.0829200456746,40,95
32.76316684784615,-97.07602255092307,65,95
32.76436931113475,-97.13489788574468,94,92
32.64552067369048,-97.08673713285714,89,89
32.768802093809526,-97.14690314174604,98,88
32.70831377039604,-97.12832973217822,28,88
32.624001181785715,-97.15105917607143,84,88
32.68313106273684,-97.11752963063158,82,87
32.750445407256095,-97.045916145,18,87
32.70576190791667,-97.09412598260417,54,86
32.71186977671378,-97.18981102162545,99,85
32.63530800552941,-97.10648403529412,69,85
32.64879137966481,-97.15468962078212,61,84
32.70207746788618,-97.079544749187,24,83
32.74868373728813,-97.05675397949153,77,81
32.706716301489365,-97.16782147829787,92,80
32.64783699625,-97.14076503854167,5,78
32.76076582642157,-97.09713319416667,25,77
32.65961516148936,-97.14173555843972,57,76
32.673166332592594,-97.07155656320988,37,71
32.65517106434108,-97.08799834689923,11,70
32.631246508780485,-97.07822258365853,93,68
32.76115176228346,-97.1102394619685,41,67
32.725516772666666,-97.20047263966667,39,65
32.727527354367815,-97.0704366129885,17,64
32.7606817340625,-97.08500381401042,62,63
32.72229420522727,-97.08081482681818,10,61
32.657648906491225,-97.10655491438597,72,59
32.670243418125,-97.14157771958334,56,59
32.74563885837838,-97.08792981719219,96,57
32.62613427319587,-97.11767178752578,0,53
32.74760608112359,-97.11002210078652,34,48
32.69019952842795,-97.11265586572053,86,48
32.62942525,-97.186151215,73,47
32.78069266525,-97.070853466,30,46
32.78077481191176,-97.08715271338235,79,41
32.7063898148913,-97.1125199776087,36,39
32.74868259216216,-97.07222025054054,95,37
32.67863336491228,-97.14147783929825,81,30
32.65197968529851,-97.11571097373134,64,28
32.77856102306818,-97.12811789852273,91,12
32.68109884717647,-97.16709637882353,33,9
33.78809548292683,-84.33465221463415,53,1373
33.7488828097561,-84.40184138536586,18,1113
33.93109143945313,-84.30229687109374,96,1113
33.71882542857143,-84.46246961152882,13,1074
33.72402505782313,-84.35754929931973,43,1012
33.776545764119604,-84.49508938870432,34,996
33.80785835220126,-84.43765407127883,84,963
33.766807687350834,-84.29885470644392,42,923
33.824317882978725,-84.39951606914893,9,864
33.75564122273782,-84.34262211716937,12,853
33.728004423376625,-84.39706052727273,68,784
33.662295014204545,-84.41911310795454,71,745
33.78091193911007,-84.36517744964871,62,742
33.74118690223464,-84.43200441154562,30,720
33.84672428813559,-84.25062662146892,35,709
33.97030235897436,-84.55849479487179,49,680
33.944010648639455,-84.40358933918367,86,670
33.77200780053192,-84.26631242021277,95,656
33.75844327877698,-84.36989230845323,67,652
33.708373253968254,-84.52182989417989,82,625
33.85094848260869,-84.34994368695652,54,620
33.595101013157894,-84.48765057894737,32,619
33.757700967280165,-84.46657141104295,1,615
33.80582136155914,-84.38807379973119,41,615
33.71044627602083,-84.42581061527083,57,609
33.698644375451266,-84.38841515523465,92,601
33.773403872685186,-84.42758595833334,73,595
33.753535481481485,-84.31976459722222,70,593
33.73869355135135,-84.51122146486486,87,582
33.8019496006826,-84.4173684675768,37,580
33.735175409722224,-84.36876042638889,69,549
33.667861273972605,-84.4465415479452,58,543
33.70281247657512,-84.37020073505654,2,512
33.6475242,-84.1934636,60,506
33.76964356751269,-84.34824478984771,22,489
33.72878922171831,-84.4118338972676,24,480
33.87568992424242,-84.39410596969697,6,477
33.79649962931035,-84.36586898620689,26,432
33.89379464102564,-84.5788224871795,27,429
33.808888907258066,-84.24247104435484,89,424
33.65360146195652,-84.38580664673913,7,419
33.7518722019544,-84.30582811074919,78,418
33.75301118952277,-84.42244304950108,65,416
33.75107723767258,-84.36280328106508,93,416
33.89639557777778,-84.32698293333334,3,399
33.80686690136054,-84.48327389795918,10,385
33.69500451333333,-84.48322497333334,17,376
33.73195113194444,-84.26522209027777,23,372
33.86684610891089,-84.29621835643565,61,358
33.76687223245614,-84.33368727192982,11,352
33.68421934579439,-84.43542664953272,98,346
33.91252847154472,-84.26515149593496,59,341
33.72999284736842,-84.48906235789474,94,340
33.76804407991361,-84.35817055867531,74,321
33.79416582580645,-84.35252302580645,5,301
33.78282829577465,-84.44313201408451,45,294
33.91115480821918,-84.43076689041096,4,294
33.7292026523888,-84.38418395551895,29,293
33.7621775106814,-84.38802375697975,63,279
33.703611053958944,-84.35402959900293,66,277
33.75326513833992,-84.4407930770751,25,277
33.815575608938545,-84.41268875698324,88,273
33.77854661994609,-84.37688483153639,39,248
33.7774541827957,-84.31073419354838,75,236
33.815183078740155,-84.30965698425197,97,232
33.74112526555024,-84.33853361244019,20,230
33.836380122743684,-84.37212533574007,80,225
33.73733147084356,-84.41952211972392,31,219
33.77941801397713,-84.35426339644219,79,217
33.78287357012751,-84.29647924043717,50,214
33.77039687015177,-84.41272772344014,55,213
33.729512330201345,-84.4235563342282,83,211
33.67990637671233,-84.50141283561643,0,205
33.717584539495796,-84.4117444907563,48,202
33.80425969190031,-84.40000124267912,52,190
33.68282470559322,-84.37627481809322,19,189
33.67983183536585,-84.4108957195122,8,188
33.71640604347826,-84.28385310144928,28,185
33.719233444976076,-84.37721410047847,40,184
33.80298536866359,-84.45665903225806,14,177
33.77314380888889,-84.46048734666667,76,164
33.95667987234042,-84.33201910638297,46,150
33.75522513333333,-84.33061808130081,16,147
33.82205691469194,-84.3586638578199,72,146
33.76830165071651,-84.37353173951195,47,144
33.861940707317075,-84.37006429268293,36,132
33.763830404761904,-84.3144351279762,64,127
