state,city,common_name,count
Colorado,Colorado Springs,Littleleaf linden,193
Colorado,Colorado Springs,Northern hackberry,130
Colorado,Colorado Springs,Northern red oak,355
Colorado,Colorado Springs,Norway maple,488
Colorado,Colorado Springs,Plains cottonwood,56
Colorado,Colorado Springs,Ponderosa pine,1924
Colorado,Colorado Springs,Quaking aspen,41
Colorado,Colorado Springs,Red maple,33
Colorado,Colorado Springs,Rocky mountain juniper,81
Colorado,Colorado Springs,Siberian elm,838
Colorado,Colorado Springs,Silver maple,952
Colorado,Colorado Springs,Swamp white oak,174
Colorado,Colorado Springs,White ash,163
Colorado,Denver,American elm,4275
Colorado,Denver,American linden,5328
Colorado,Denver,Austrian pine,7302
Colorado,Denver,Blue spruce,7592
Colorado,Denver,Bur oak,5102
Colorado,Denver,Eastern cottonwood,2593
Colorado,Denver,English oak,2613
Colorado,Denver,Flowering crabapple,9240
Colorado,Denver,Flowering pear,7103
Colorado,Denver,Freeman maple,9780
Colorado,Denver,Green ash,25736
Colorado,Denver,Honey locust,23565
Colorado,Denver,Kentucky coffeetree,3540
Colorado,Denver,Littleleaf linden,12961
Colorado,Denver,Northern hackberry,9060
Colorado,Denver,Northern red oak,4846
Colorado,Denver,Norway maple,7945
Colorado,Denver,Plains cottonwood,2657
Colorado,Denver,Ponderosa pine,7063
Colorado,Denver,Quaking aspen,3483
Colorado,Denver,Red maple,3084
Colorado,Denver,Rocky mountain juniper,3010
Colorado,Denver,Siberian elm,10671
Colorado,Denver,Silver maple,12735
Colorado,Denver,Swamp white oak,4830
Colorado,Denver,Western catalpa,2962
Colorado,Denver,White ash,11922
Florida,Cape Coral,Bald cypress,1724
Florida,Cape Coral,Bottlebrush,180
Florida,Cape Coral,Cabbage palm,6632
Florida,Cape Coral,Crape myrtle,503
Florida,Cape Coral,Dahoon holly,622
Florida,Cape Coral,Florida royal palm,743
Florida,Cape Coral,Foxtail palm,533
Florida,Cape Coral,Japanese privet,434
Florida,Cape Coral,Laurel oak,903
Florida,Cape Coral,Live oak,5727
Florida,Cape Coral,Mahogany,2269
Florida,Cape Coral,Queen palm,817
Florida,Cape Coral,Red maple,138
Florida,Cape Coral,Slash pine,3298
Florida,Cape Coral,Southern magnolia,122
Florida,Cape Coral,Southern red cedar,514
Florida,Cape Coral,Water oak,431
Florida,Lutz,Live oak,1
Florida,Miami,Bald cypress,1
Florida,Miami,Cabbage palmetto,41
Florida,Miami,Foxtail palm,3
Florida,Miami,Laurel oak,1
Florida,Miami,Red maple,1
Florida,Miami,Slash pine,46
Florida,Miami,Southern magnolia,1
Florida,Orlando,Cabbage palmetto,2855
Florida,Orlando,Camphor tree,879
Florida,Orlando,Carolina laurelcherry,519
Florida,Orlando,Chinese elm,2609
Florida,Orlando,Common crapemyrtle,14988
Florida,Orlando,Foxtail palm,48
Florida,Orlando,Holly,1693
Florida,Orlando,Japanese privet,620
Florida,Orlando,Laurel oak,10620
Florida,Orlando,Live oak,17126
Florida,Orlando,Mahogany,3
Florida,Orlando,Mexican fan palm,1384
Florida,Orlando,Oriental arborvitae,470
Florida,Orlando,Queen palm,817
Florida,Orlando,Red maple,1814
Florida,Orlando,Sand live oak,77
Florida,Orlando,Shumard oak,1404
Florida,Orlando,Slash pine,945
Florida,Orlando,Southern magnolia,1952
Florida,Orlando,Water oak,168
Florida,Seffner,Chinese elm,1
Florida,Seffner,Diamond oak laurel oak,4
Florida,Seffner,Live oak,3
Florida,Seffner,Water oak,4
Florida,Tampa,Bottlebrush,556
Florida,Tampa,Cabbage palm,1381
Florida,Tampa,Carolina laurelcherry,855
Florida,Tampa,Chinese elm,414
Florida,Tampa,Crapemyrtle,2851
Florida,Tampa,Diamond oak laurel oak,1099
Florida,Tampa,Florida royal palm,6
Florida,Tampa,Foxtail palm,22
Florida,Tampa,Japanese privet,149
Florida,Tampa,Live oak,5379
Florida,Tampa,Oriental arborvitae,58
Florida,Tampa,Queen palm,225
Florida,Tampa,Red maple,309
Florida,Tampa,Sand live oak,3248
Florida,Tampa,Slash pine,1236
Florida,Tampa,Southern magnolia,336
Florida,Tampa,Washington fan palm,1007
Florida,Tampa,Water oak,27
Florida,Temple Terrace,Sand live oak,3
Hawaii,Ahuimanu,Myrtle crape,7
Hawaii,Ahuimanu,Plumeria,1
Hawaii,Ahuimanu,Royal poinciana,5
Hawaii,Aiea,Monkeypod,1
Hawaii,Heeia,Myrtle crape,1
Hawaii,Honolulu,African tulip tree,94
Hawaii,Honolulu,Autograph tree,74
Hawaii,Honolulu,Chinese banyan,179
Hawaii,Honolulu,Coconut palm,635
Hawaii,Honolulu,False olive,163
Hawaii,Honolulu,Fern tree,21
Hawaii,Honolulu,Fiji fan palm,186
Hawaii,Honolulu,Formosan koa,332
Hawaii,Honolulu,Golden shower,151
Hawaii,Honolulu,Haole kou,82
Hawaii,Honolulu,Hong kong orchid tree,51
Hawaii,Honolulu,Ironwood,88
Hawaii,Honolulu,Kamani,22
Hawaii,Honolulu,Kou,87
Hawaii,Honolulu,Kukui,89
Hawaii,Honolulu,Manila palm,243
Hawaii,Honolulu,Milo,159
Hawaii,Honolulu,Monkeypod,718
Hawaii,Honolulu,Myrtle crape,3
Hawaii,Honolulu,Narra,131
Hawaii,Honolulu,Paperbark,65
Hawaii,Honolulu,Paraguay tea,11
Hawaii,Honolulu,Pink tecoma,421
Hawaii,Honolulu,Plumeria,142
Hawaii,Honolulu,Rainbow shower,576
Hawaii,Honolulu,Royal poinciana,155
Hawaii,Honolulu,Satinleaf,80
Hawaii,Honolulu,Silver buttonwood,33
Hawaii,Honolulu,West indian mahogany,144
Hawaii,Honolulu,White tecoma,161
Hawaii,Kailua,African tulip tree,11
Hawaii,Kailua,Autograph tree,60
Hawaii,Kailua,Chinese banyan,10
Hawaii,Kailua,Coconut palm,981
Hawaii,Kailua,False olive,35
Hawaii,Kailua,Fern tree,178
Hawaii,Kailua,Fiji fan palm,62
Hawaii,Kailua,Formosan koa,5
Hawaii,Kailua,Golden shower,52
Hawaii,Kailua,Haole kou,170
Hawaii,Kailua,Hong kong orchid tree,41
Hawaii,Kailua,Ironwood,320
Hawaii,Kailua,Kamani,124
Hawaii,Kailua,Kou,93
Hawaii,Kailua,Kukui,49
Hawaii,Kailua,Manila palm,983
Hawaii,Kailua,Milo,14
Hawaii,Kailua,Monkeypod,79
Hawaii,Kailua,Myrtle crape,14
Hawaii,Kailua,Narra,46
Hawaii,Kailua,Paperbark,40
Hawaii,Kailua,Paraguay tea,119
Hawaii,Kailua,Pink tecoma,373
Hawaii,Kailua,Plumeria,74
Hawaii,Kailua,Rainbow shower,219
Hawaii,Kailua,Royal poinciana,57
Hawaii,Kailua,Satinleaf,51
Hawaii,Kailua,Silver buttonwood,251
Hawaii,Kailua,West indian mahogany,1
Hawaii,Kailua,White tecoma,86
Hawaii,Kaneohe,African tulip tree,24
Hawaii,Kaneohe,Autograph tree,1
Hawaii,Kaneohe,Chinese banyan,22
Hawaii,Kaneohe,Coconut palm,104
Hawaii,Kaneohe,False olive,29
Hawaii,Kaneohe,Fern tree,77
Hawaii,Kaneohe,Fiji fan palm,14
Hawaii,Kaneohe,Formosan koa,20
Hawaii,Kaneohe,Golden shower,27
Hawaii,Kaneohe,Haole kou,5
Hawaii,Kaneohe,Hong kong orchid tree,21
Hawaii,Kaneohe,Ironwood,1
Hawaii,Kaneohe,Kamani,11
Hawaii,Kaneohe,Kou,8
Hawaii,Kaneohe,Kukui,20
Hawaii,Kaneohe,Manila palm,297
Hawaii,Kaneohe,Milo,20
Hawaii,Kaneohe,Monkeypod,47
Hawaii,Kaneohe,Myrtle crape,129
Hawaii,Kaneohe,Paperbark,60
Hawaii,Kaneohe,Paraguay tea,11
Hawaii,Kaneohe,Pink tecoma,145
Hawaii,Kaneohe,Plumeria,26
Hawaii,Kaneohe,Rainbow shower,154
Hawaii,Kaneohe,Royal poinciana,14
Hawaii,Kaneohe,Satinleaf,71
Hawaii,Kaneohe,Silver buttonwood,64
Hawaii,Kaneohe,White tecoma,40
Hawaii,Waipahu,Golden shower,2
Hawaii,Waipahu,Rainbow shower,27
Iowa,Adair,American basswood,9
Iowa,Adair,Apple,16
Iowa,Adair,Black walnut,16
Iowa,Adair,Blue spruce,22
Iowa,Adair,Bur oak,2
Iowa,Adair,Eastern red cedar,3
Iowa,Adair,Green ash,53
Iowa,Adair,Honeylocust,4
Iowa,Adair,Littleleaf linden,4
Iowa,Adair,Maple,14
Iowa,Adair,Mulberry,5
Iowa,Adair,Northern hackberry,3
Iowa,Adair,Northern red oak,3
Iowa,Adair,Norway maple,27
Iowa,Adair,Siberian elm,4
Iowa,Adair,Silver maple,72
Iowa,Adair,Spruce,4
Iowa,Adair,Sugar maple,16
Iowa,Adel,American basswood,6
Iowa,Adel,American sycamore,4
Iowa,Adel,Apple,57
Iowa,Adel,Black maple,40
Iowa,Adel,Black walnut,11
Iowa,Adel,Blue spruce,2
Iowa,Adel,Bur oak,2
Iowa,Adel,Eastern red cedar,4
Iowa,Adel,Green ash,97
Iowa,Adel,Honeylocust,12
Iowa,Adel,Littleleaf linden,14
Iowa,Adel,Maple,1
Iowa,Adel,Northern hackberry,13
Iowa,Adel,Northern red oak,11
Iowa,Adel,Norway maple,37
Iowa,Adel,Pear,39
Iowa,Adel,Pin oak,8
Iowa,Adel,Red maple,7
Iowa,Adel,Siberian elm,16
Iowa,Adel,Silver maple,89
Iowa,Adel,Sugar maple,29
Iowa,Adel,Swamp white oak,14
Iowa,Adel,White ash,2
Iowa,Baxter,Apple,4
Iowa,Baxter,Ash,1
Iowa,Baxter,Blue spruce,11
Iowa,Baxter,Bur oak,2
Iowa,Baxter,Eastern red cedar,13
Iowa,Baxter,Eastern white pine,3
Iowa,Baxter,Green ash,5
Iowa,Baxter,Honeylocust,1
Iowa,Baxter,Mulberry,2
Iowa,Baxter,Northern hackberry,4
Iowa,Baxter,Northern red oak,10
Iowa,Baxter,Northern white cedar,7
Iowa,Baxter,Norway maple,4
Iowa,Baxter,Pear,1
Iowa,Baxter,Pin oak,2
Iowa,Baxter,Red maple,8
Iowa,Baxter,Silver maple,18
Iowa,Baxter,Spruce,1
Iowa,Baxter,Sugar maple,146
Iowa,Baxter,Swamp white oak,2
Iowa,Baxter,White ash,1
Iowa,Bayard,American basswood,3
Iowa,Bayard,American sycamore,2
Iowa,Bayard,Black walnut,3
Iowa,Bayard,Green ash,13
Iowa,Bayard,Honeylocust,3
Iowa,Bayard,Northern hackberry,4
Iowa,Bayard,Norway maple,9
Iowa,Bayard,Siberian elm,2
Iowa,Bayard,Silver maple,12
Iowa,Bayard,Sugar maple,11
Iowa,Bondurant,American sycamore,13
Iowa,Bondurant,Apple,61
Iowa,Bondurant,Black maple,5
Iowa,Bondurant,Black walnut,6
Iowa,Bondurant,Blue spruce,12
Iowa,Bondurant,Bur oak,5
Iowa,Bondurant,Chinese elm,1
Iowa,Bondurant,Eastern red cedar,3
Iowa,Bondurant,Eastern white pine,5
Iowa,Bondurant,Green ash,40
Iowa,Bondurant,Honeylocust,6
Iowa,Bondurant,Littleleaf linden,6
Iowa,Bondurant,Maple,8
Iowa,Bondurant,Mulberry,3
Iowa,Bondurant,Northern hackberry,9
Iowa,Bondurant,Northern red oak,6
Iowa,Bondurant,Northern white cedar,15
Iowa,Bondurant,Norway maple,13
Iowa,Bondurant,Pear,17
Iowa,Bondurant,Pin oak,1
Iowa,Bondurant,Red maple,15
Iowa,Bondurant,Siberian elm,3
Iowa,Bondurant,Silver maple,34
Iowa,Bondurant,Spruce,21
Iowa,Bondurant,Sugar maple,20
Iowa,Bondurant,Swamp white oak,21
Iowa,Bondurant,White ash,9
Iowa,Bouton,American sycamore,1
Iowa,Bouton,Apple,2
Iowa,Bouton,Black maple,4
Iowa,Bouton,Black walnut,3
Iowa,Bouton,Blue spruce,1
Iowa,Bouton,Chinese elm,2
Iowa,Bouton,Eastern red cedar,1
Iowa,Bouton,Green ash,49
Iowa,Bouton,Honeylocust,6
Iowa,Bouton,Mulberry,3
Iowa,Bouton,Northern hackberry,18
Iowa,Bouton,Northern red oak,3
Iowa,Bouton,Northern white cedar,3
Iowa,Bouton,Norway maple,5
Iowa,Bouton,Silver maple,27
Iowa,Bouton,Spruce,2
Iowa,Bouton,White ash,4
Iowa,Carlisle,American basswood,15
Iowa,Carlisle,American sycamore,2
Iowa,Carlisle,Apple,24
Iowa,Carlisle,Ash,54
Iowa,Carlisle,Black maple,4
Iowa,Carlisle,Black walnut,53
Iowa,Carlisle,Blue spruce,2
Iowa,Carlisle,Bur oak,21
Iowa,Carlisle,Eastern red cedar,2
Iowa,Carlisle,Eastern white pine,43
Iowa,Carlisle,Hickory,3
Iowa,Carlisle,Honeylocust,8
Iowa,Carlisle,Littleleaf linden,8
Iowa,Carlisle,Mulberry,7
Iowa,Carlisle,Northern hackberry,64
Iowa,Carlisle,Northern red oak,51
Iowa,Carlisle,Northern white cedar,1
Iowa,Carlisle,Norway maple,8
Iowa,Carlisle,Pear,1
Iowa,Carlisle,Red maple,13
Iowa,Carlisle,Siberian elm,3
Iowa,Carlisle,Silver maple,33
Iowa,Carlisle,Spruce,1
Iowa,Carlisle,Sugar maple,18
Iowa,Colfax,American sycamore,1
Iowa,Colfax,Apple,11
Iowa,Colfax,Ash,29
Iowa,Colfax,Black maple,4
Iowa,Colfax,Black walnut,7
Iowa,Colfax,Bur oak,3
Iowa,Colfax,Chinese elm,1
Iowa,Colfax,Eastern red cedar,1
Iowa,Colfax,Eastern white pine,4
Iowa,Colfax,Honeylocust,13
Iowa,Colfax,Littleleaf linden,2
Iowa,Colfax,Maple,28
Iowa,Colfax,Mulberry,3
Iowa,Colfax,Northern hackberry,12
Iowa,Colfax,Northern red oak,6
Iowa,Colfax,Northern white cedar,3
Iowa,Colfax,Norway maple,6
Iowa,Colfax,Pear,1
Iowa,Colfax,Pin oak,2
Iowa,Colfax,Red maple,6
Iowa,Colfax,Siberian elm,12
Iowa,Colfax,Silver maple,53
Iowa,Colfax,Spruce,4
Iowa,Colfax,Sugar maple,45
Iowa,Colfax,Swamp white oak,2
Iowa,Coon Rapids,American basswood,13
Iowa,Coon Rapids,American sycamore,2
Iowa,Coon Rapids,Apple,23
Iowa,Coon Rapids,Black maple,8
Iowa,Coon Rapids,Black walnut,16
Iowa,Coon Rapids,Blue spruce,9
Iowa,Coon Rapids,Bur oak,15
Iowa,Coon Rapids,Eastern red cedar,1
Iowa,Coon Rapids,Eastern white pine,3
Iowa,Coon Rapids,Green ash,159
Iowa,Coon Rapids,Hickory,1
Iowa,Coon Rapids,Honeylocust,19
Iowa,Coon Rapids,Littleleaf linden,34
Iowa,Coon Rapids,Maple,14
Iowa,Coon Rapids,Northern hackberry,9
Iowa,Coon Rapids,Northern red oak,40
Iowa,Coon Rapids,Northern white cedar,12
Iowa,Coon Rapids,Norway maple,88
Iowa,Coon Rapids,Pear,14
Iowa,Coon Rapids,Pin oak,5
Iowa,Coon Rapids,Red maple,9
Iowa,Coon Rapids,Siberian elm,1
Iowa,Coon Rapids,Silver maple,65
Iowa,Coon Rapids,Spruce,16
Iowa,Coon Rapids,Sugar maple,26
Iowa,Coon Rapids,Swamp white oak,15
Iowa,Coon Rapids,White ash,9
Iowa,Dallas Center,American basswood,11
Iowa,Dallas Center,American sycamore,8
Iowa,Dallas Center,Apple,41
Iowa,Dallas Center,Black walnut,3
Iowa,Dallas Center,Blue spruce,8
Iowa,Dallas Center,Bur oak,24
Iowa,Dallas Center,Eastern red cedar,3
Iowa,Dallas Center,Eastern white pine,50
Iowa,Dallas Center,Green ash,148
Iowa,Dallas Center,Hickory,4
Iowa,Dallas Center,Honeylocust,15
Iowa,Dallas Center,Littleleaf linden,17
Iowa,Dallas Center,Maple,1
Iowa,Dallas Center,Mulberry,2
Iowa,Dallas Center,Northern hackberry,18
Iowa,Dallas Center,Northern red oak,33
Iowa,Dallas Center,Northern white cedar,13
Iowa,Dallas Center,Norway maple,83
Iowa,Dallas Center,Pear,4
Iowa,Dallas Center,Pin oak,11
Iowa,Dallas Center,Red maple,25
Iowa,Dallas Center,Siberian elm,3
Iowa,Dallas Center,Silver maple,103
Iowa,Dallas Center,Spruce,11
Iowa,Dallas Center,Sugar maple,94
Iowa,Dallas Center,Swamp white oak,18
Iowa,Dallas Center,White ash,11
Iowa,De Soto,American basswood,1
Iowa,De Soto,American sycamore,5
Iowa,De Soto,Apple,4
Iowa,De Soto,Ash,5
Iowa,De Soto,Black walnut,73
Iowa,De Soto,Blue spruce,1
Iowa,De Soto,Bur oak,1
Iowa,De Soto,Eastern red cedar,1
Iowa,De Soto,Green ash,9
Iowa,De Soto,Littleleaf linden,1
Iowa,De Soto,Maple,1
Iowa,De Soto,Mulberry,1
Iowa,De Soto,Northern hackberry,1
Iowa,De Soto,Northern red oak,2
Iowa,De Soto,Norway maple,2
Iowa,De Soto,Siberian elm,12
Iowa,De Soto,Silver maple,6
Iowa,De Soto,Sugar maple,5
Iowa,De Soto,White ash,1
Iowa,Des Moines,Apple,3
Iowa,Dexter,American basswood,5
Iowa,Dexter,American sycamore,1
Iowa,Dexter,Apple,31
Iowa,Dexter,Ash,29
Iowa,Dexter,Black walnut,4
Iowa,Dexter,Green ash,11
Iowa,Dexter,Hickory,1
Iowa,Dexter,Honeylocust,9
Iowa,Dexter,Littleleaf linden,2
Iowa,Dexter,Maple,10
Iowa,Dexter,Northern hackberry,6
Iowa,Dexter,Northern red oak,6
Iowa,Dexter,Norway maple,11
Iowa,Dexter,Pear,3
Iowa,Dexter,Red maple,8
Iowa,Dexter,Silver maple,19
Iowa,Dexter,Spruce,3
Iowa,Dexter,Sugar maple,25
Iowa,Dexter,Swamp white oak,5
Iowa,Earlham,American basswood,1
Iowa,Earlham,American sycamore,1
Iowa,Earlham,Apple,151
Iowa,Earlham,Black walnut,2
Iowa,Earlham,Bur oak,2
Iowa,Earlham,Eastern red cedar,2
Iowa,Earlham,Green ash,54
Iowa,Earlham,Hickory,1
Iowa,Earlham,Honeylocust,2
Iowa,Earlham,Littleleaf linden,1
Iowa,Earlham,Northern hackberry,24
Iowa,Earlham,Northern red oak,18
Iowa,Earlham,Norway maple,25
Iowa,Earlham,Pear,26
Iowa,Earlham,Pin oak,6
Iowa,Earlham,Red maple,35
Iowa,Earlham,Siberian elm,2
Iowa,Earlham,Silver maple,26
Iowa,Earlham,Spruce,3
Iowa,Earlham,Sugar maple,118
Iowa,Earlham,Swamp white oak,10
